,Year,Song,Singer,Lyrics,Genre
0,2010,Only Girl (In The World),Rihanna,"[Intro] La-la-la-la La-la-la-la La-la-la-la (Uh, yeah) La-la-la-la   I want you to love me Like I'm a hot ride (Uh, yeah)  Be thinking of me (Uh) Doing what you like (Haha) So, boy, forget about the world 'Cause it's gon' be me and you tonight (Yeah) I wanna make you beg for it Then I'ma make you swallow your pride, oh (Uh, uh)   Want you to make me feel Like I'm the only girl in the world Like I'm the only one that you'll ever love Like I'm the only one who knows your heart Only girl in the world Like I'm the only one that's in command 'Cause I'm the only one who understands How to make you feel like a man, yeah Want you to make me feel Like I'm the only girl in the world Like I'm the only one that you'll ever love Like I'm the only one who knows your heart Only one   Want you to take it (Uh) Like a thief in the night (Uh) Hold me like a pillow Make me feel right (Uh)  Baby, I'll tell you all my secrets that I'm keeping  You can come inside (Yeah) And when you enter, you ain't leaving Be my prisoner for the night, oh   Want you to make me feel Like I'm the only girl in the world Like I'm the only one that you'll ever love Like I'm the only one who knows your heart Only girl in the world Like I'm the only one that's in command 'Cause I'm the only one who understands Like I'm the only one who knows your heart Only one   Take me for a ride, ride Oh, baby, take me high, high Let me make you rise, rise Oh, make it last all night, night Take me for a ride, ride Oh, baby, take me high, high Let me make you rise, rise Make it last all night ",
1,2010,Raise Your Glass,P!nk,"Right, right, turn off the lights We gonna lose our minds tonight What's the dealio? I love when it's all too much 5 AM, turn the radio up Where's the rock 'n roll?   Party crasher, panty snatcher Call me up if you a gangsta (Uh) Don't be fancy, just get dancy Why so serious?    So raise your glass if you are wrong In all the right ways, all my underdogs We will never be, never be anything but loud And nitty-gritty, dirty, little freaks Won't you come on and, come on and raise your glass? Just come on and, come on and raise your glass   Slam, slam, oh, hot damn What part of party don't you understand? Wish you'd just freak out (Freak out already) Can't stop, coming in hot I should be locked up right on the spot It's so on right now (It's so fuckin' on right now)   Party crasher, panty snatcher Call me up if you a gangsta Don't be fancy, just get dancy Why so serious?   So raise your glass if you are wrong In all the right ways, all my underdogs We will never be, never be anything but loud And nitty-gritty, dirty, little freaks Won't you come on and, come on and raise your glass? Just come on and, come on and raise your glass Won't you come on and, come on and raise your glass? Just come on and, come on and raise your glass   Oh shit! My glass is empty That sucks! So if you're too school for cool (I mean) And you're treated like a fool (Treated like a fool) You can choose to let it go We can always, we can always party on our own So raise your (Ah, fuck)   So raise your glass if you are wrong In all the right ways, all my underdogs We will never be, never be anything but loud And nitty-gritty, dirty, little freaks (So raise your glass) So raise your glass if you are wrong In all the right ways, all my underdogs We will never be, never be anything but loud And nitty-gritty, dirty, little freaks Won't you come on and, come on and raise your glass? Just come on and, come on and raise your glass Won't you come on and, come on and raise your glass? (For me) Just come on and, come on and raise your glass For me ",
2,2010,Like A G6,Far*East Movement Featuring Cataracs & Dev,"Dev: Poppin' bottles in the ice like a blizzard When we drink, we do it right, gettin' slizzard Sippin' sizzurp in my ride, in my ride like Three 6 Now I'm feelin' so fly like a G6  Like a G6, like a G6 Now I'm feelin' so fly like a G6 Like a G6, like a G6 Now I'm feelin' so fly like a G6  Kev Nish: Give me that Mo-Moët Give me that Cris-Cristal Ladies love my style, at my table, gettin' wild Get them bottles poppin', we get that drip and that drop Now, now give me two more bottles, 'cause you know it don't stop  The Cataracs: (808) Hell, yeah Drink it up, drink-drink it up When sober girls around me, they be actin' like they drunk They be actin' like they drunk, actin'-actin' like they drunk When sober girls around me, they be actin' like they drunk  Dev: Poppin' bottles in the ice like a blizzard When we drink, we do it right, gettin' slizzard Sippin' sizzurp in my ride, in my ride like Three 6 Now I'm feelin' so fly like a G6  Like a G6, like a G6 Now I'm feelin' so fly like a G6 Like a G6, like a G6 Now I'm feelin' so fly like a G6  Proghess: Sippin' on, sippin' on sizz, I'm 'a ma-make it fizz Girl, I keep it gangsta, poppin' bottles at the crib This is how we live every single night Take that bottle to the head and let me see you fly  The Cataracs: (808) Hell, yeah Drink it up, drink-drink it up When sober girls around me, they be actin' like they drunk They be actin' like they drunk, actin'-actin' like they drunk When sober girls around me, they be actin' like they drunk  Dev: Poppin' bottles in the ice like a blizzard When we drink, we do it right, gettin' slizzard Sippin' sizzurp in my ride, in my ride like Three 6 Now I'm feelin' so fly like a G6  Like a G6, like a G6 Now I'm feelin' so fly like a G6 Like a G6, like a G6 Now I'm feelin' so fly like a G6 ",
3,2010,We R Who We R,Ke$ha,"Hot and dangerous If you're one of us, then roll with us  'Cause we make the hipsters fall in love When we got our hot pants on and up And yes, of course we does We runnin' this town just like a club  And no, you don't wanna mess with us Got Jesus on my necklace-ace-ace    Got that glitter on my eyes  Stockings ripped all up the side Lookin' sick and sexified So let's go-o-o, let's go   Tonight we're goin' hard, hard, h-h-h-hard Just like the world is our, our, o-o-o-ours We're tearin' it apart-part, p-p-p-part You know we're superstars We are who we are  We're dancin' like we're dumb, dumb, d-d-d-dumb  Our bodies goin' numb, numb, n-n-n-numb We'll be forever young, young, y-y-y-young You know we're superstars We are who we are   DJ, turn it up It's about damn time to live it up I'm so sick of bein' so serious It's makin' my brain delirious I'm just talkin' truth I'm tellin' you 'bout the shit we do We're sellin' our clothes, sleepin' in cars Dressin' it down, hittin' on dudes hard   Got that glitter on my eyes Stockings ripped all up the side Lookin' sick and sexy-fied So let's go-o-o, let's go   Tonight we're goin' hard, hard, h-h-h-hard Just like the world is our, our, o-o-o-ours We're tearin' it apart-part, p-p-p-part You know we're superstars We are who we are  We're dancin' like we’re dumb, dumb, d-d-d-dumb  Our bodies goin' numb, numb, n-n-n-numb We'll be forever young, young, y-y-y-young You know we're superstars We are who we are ",
4,2010,Just A Dream,Nelly,"Uh, uh, uh, hey I was thinking 'bout her, thinking 'bout me Thinking 'bout us, what we gon' be? Open my eyes, yeah It was only just a dream So I traveled back, down that road Will she come back? No one knows I realize, yeah It was only just a dream   I was at the top and now it's like I'm in the basement Number one spot, now she found her a replacement I swear now I can't take it Knowing somebody's got my baby And now you ain't around, baby, I can't think I shoulda put it down, shoulda got that ring 'Cause I can still feel it in the air See her pretty face, run my fingers through her hair My lover, my life My shawty, my wife She left me, I'm tight 'Cause I knew that it just ain't right    Uh, uh, uh, hey I was thinking 'bout her, thinking 'bout me Thinking 'bout us, what we gon' be? Open my eyes, yeah It was only just a dream So I travel back, down that road Will she come back? No one knows I realize, yeah It was only just a dream   When I be riding man I swear I see her face at every turn Tryna get my Usher on but I can't let it Burn  And I just hope she know that she the only one I yearn - for More and more, I miss her, when will I learn? Didn't give her all my love, I guess now I got my payback  Now I'm in the club thinking all about my baby Hey, she was so easy to love But wait, I guess that love wasn't enough I'm going through it every time that I'm alone And now I'm missing, wishing she pick up the phone But she made a decision that she wanted to move on 'Cause I was wrong    Uh, uh, uh I was thinking 'bout her, thinking 'bout me Thinking 'bout us, what we gon' be? Open my eyes, yeah It was only just a dream So I travel back, down that road Will she come back? No one knows I realize, yeah It was only just a dream   If you ever loved somebody, put your hands up If you ever loved somebody, put your hands up And now they're gone And you wishing you could give them everything Everything (Hey) Said if you ever loved somebody, put your hands up If you ever loved somebody, put your hands up And now they're gone And you wishing you could give them everything ",
5,2010,Firework,Katy Perry,"Do you ever feel like a plastic bag Drifting through the wind, wanting to start again?  Do you ever feel, feel so paper-thin Like a house of cards, one blow from cavin' in?  Do you ever feel already buried deep? Six feet under screams, but no one seems to hear a thing  Do you know that there's still a chance for you? 'Cause there's a spark in you   You just gotta ignite the light  And let it shine Just own the night Like the Fourth of July    'Cause baby, you're a firework Come on show 'em what you're worth Make 'em go, ""Awe, awe, awe"" As you shoot across the sky-y-y  Baby, you're a firework Come on, let your colors burst  Make 'em go, ""Awe, awe, awe"" You're gonna leave 'em all in awe, awe, awe   You don't have to feel like a waste of space You're original, cannot be replaced If you only knew what the future holds After a hurricane comes a rainbow Maybe a reason why all the doors are closed So you could open one that leads you to the perfect road Like a lightning bolt, your heart will glow And when it's time, you'll know    You just gotta ignite the light And let it shine Just own the night Like the Fourth of July    'Cause baby, you're a firework Come on, show 'em what you're worth Make 'em go, ""Awe, awe, awe"" As you shoot across the sky-y-y  Baby, you're a firework Come on, let your colors burst  Make 'em go, ""Awe, awe, awe"" You're gonna leave 'em all in awe, awe, awe ",
6,2010,Just The Way You Are,Bruno Mars,"[Intro] Oh, oh-oh-oh Oh-oh-oh-oh Oh-oh-oh   Oh, her eyes, her eyes Make the stars look like they're not shinin' Her hair, her hair Falls perfectly without her tryin' She's so beautiful And I tell her every day  Yeah, I know, I know When I compliment her, she won't believe me  And it's so, it's so sad to think that she don't see what I see  But every time she asks me, ""Do I look okay?"" I say    When I see your face (Face, face) There's not a thing that I would change 'Cause you're amazing (Amazing) Just the way you are (Are) And when you smile (Smile, smile) The whole world stops and stares for a while 'Cause, girl, you're amazing (Amazing) Just the way you are (Are)  Yeah   Her lips, her lips I could kiss them all day if she'd let me  Her laugh, her laugh She hates, but I think it's so sexy  She's so beautiful, and I tell her every day Oh, you know, you know, you know I'd never ask you to change If perfect's what you're searching for Then just stay the same So don't even bother askin' if you look okay You know I'll say    When I see your face (Face, face) There's not a thing that I would change 'Cause you're amazing (Amazing) Just the way you are (Are) And when you smile (Smile, smile) The whole world stops and stares for a while 'Cause, girl, you're amazing (Amazing) Just the way you are (Are)    The way you are The way you are Girl, you're amazing (Amazing) Just the way you are (Are) ",
7,2010,What's My Name?,Rihanna Featuring Drake,"[Refrain: Rihanna & Drake] Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? (Uh) What's my name? What's my name? (Yeah)  [Verse 1: Drake]  I heard you good with them soft lips Yeah, you know, word of mouth The square root of sixty-nine is eight somethin', right? 'Cause I've been tryna work it out, oh  Good weed, white wine, uh I come alive in the night time, yeah  Okay, away we go Only thing we have on is the radio Let it play  Say you gotta leave, but I know you wanna stay You just waitin' on the traffic jam to finish, girl The things that we could do in twenty minutes, girl Say my name, say my name, wear it out  It's gettin' hot, crack a window, air it out I can get you through a mighty long day Soon as you go, the text that I write is gon' say  [Refrain: Rihanna] Oh na-na, what's my name? Oh na-na, what's my name? Oh na-na, what's my name? What's my name? What's my name?  [Verse 2: Rihanna] Not everybody Knows how to work my body Knows how to make me want it But, boy, you stay up on it You got that somethin' That keeps me so off balance Baby, you're a challenge Let's explore your talent  [Chorus: Rihanna] Hey, boy, I really wanna see if you Can go downtown with a girl like me Hey, boy, I really wanna be with you 'Cause you just my type Ooh, na, na, na, na I need a boy to take it over Lookin' for a guy to put in work Oh woah, oh woah Hey, boy, I really wanna see if you Can go downtown with a girl like me Hey, boy, I really wanna be with you 'Cause you just my type Ooh, na, na, na, na I need a boy to take it over Lookin' for a guy to put in work Oh woah, oh woah ",
8,2010,F**k You! (Forget You),CeeLo Green,"I see you drivin' 'round town with the girl I love And I'm like, ""Fuck you"" (Ooh-ooh-ooh) I guess the change in my pocket wasn't enough I'm like, ""Fuck you and fuck her too"" Said if I was richer, I'd still be with ya Hah, now ain't that some shit? (Ain't that some shit?) And although there's pain in my chest I still wish you the best With a ""Fuck you"" (Ooh, ooh, ooh-ooh)   Yeah, I'm sorry, I can't afford a Ferrari But that don't mean I can't get you there, uh  I guess he's an Xbox, and I'm more Atari, hm  But the way you play your game ain't fair, uh   I pity the fool, that falls in love with you, oh  Oh, shit, she's a gold digger (Well?) Just thought you should know, nigga Ooh-ooh-ooh, I've got some news for you (Huh-uh) (""Yeah, go run and tell your little boyfriend”)   I see you drivin' 'round town with the girl I love And I'm like, ""Fuck you"" (Ooh-ooh-ooh) I guess the change in my pocket wasn't enough I'm like, ""Fuck you and fuck her too"" Said if I was richer, I'd still be with ya Hah, now ain't that some shit? (Ain't that some shit?) And although there's pain in my chest I still wish you the best With a ""Fuck you"" (Ooh, ooh, ooh-ooh)   Now I know, that I had to borrow, huh Beg and steal and lie and cheat Tryin' to keep ya, tryin' to please ya 'Cause being in love with your ass ain't cheap, nah   I pity the fool, that falls in love with you, oh  Oh, shit, she's a gold digger Well? (Just thought you should know, nigga) Ooh-ooh-ooh, I've got some news for you (Huh-uh) Ooh, I really hate yo ass right now   I see you drivin' 'round town with the girl I love And I'm like, ""Fuck you"" (Ooh, ooh, ooh) I guess the change in my pocket wasn't enough I'm like, ""Fuck you and fuck her too"" Said if I was richer, I'd still be with ya Hah, now ain't that some shit? (Ain't that some shit?) And although there's pain in my chest I still wish you the best With a ""Fuck you"" (Ooh, ooh, ooh-ooh)   Now, baby, baby, baby, why you wanna, wanna hurt me so bad? (So bad, so bad, so bad) I tried to tell my momma, but she told me, ""This is one for your dad"" (Your dad, your dad, your dad) Yes, she did, and I'm like Uh, why? Uh, why? Uh, why, lady? Oh, I love you Oh, I still love you, oh-oh ",
9,2010,Bottoms Up,Trey Songz Featuring Nicki Minaj,"[Intro: Trey Songz] Yeah (Kane is in the building, nigga) It's Mr. Steal Yo Girl It's Mr. Steal Yo Girl  Leggo  [Chorus: Trey Songz] Bottoms up, bottoms up , ayy, what's in ya cup? Got a couple bottles, but a couple ain't enough Bottoms up, bottoms up, throw your hands up Tell security we 'bout to tear this club up Bottoms up, bottoms up, pocket full of green  Girl, you know I love the way you shake it in them jeans Bottoms up, bottoms up, throw ya hands up Bottoms up, bottoms up, bottoms up, up, up  [Verse 1: Trey Songz] You know what it is, girl, we back up in this thang Money stay in my pocket, girl, I'm like a walkin' bank Tell me whatcha drank, tell me whatcha thank If I go get these bottles, we go alcohol insane  [Pre-Chorus: Trey Songz] Callin' all the girls, do you hear me? All around the world, city to city Cheers to the girls, throw a deuce to the guys Now I got a chicken and a goose in the ride Gettin' loose in the ride Hatin' ass nigga you can move to the, move to the, move to the side  [Chorus: Trey Songz] Bottoms up, bottoms up , ayy, what's in ya cup? Got a couple bottles, but a couple ain't enough Bottoms up, bottoms up, throw your hands up Tell security we 'bout to tear this club up Bottoms up, bottoms up, pocket full of green Girl, you know I love the way you shake it in them jeans Bottoms up, bottoms up, throw ya hands up Bottoms up, bottoms up, bottoms up, up, up  [Verse 2: Trey Songz] My vision's blurred, my words slurred It's jam-packed, a million girls And I ain't tryna leave, though We drunk so let me be your alcohol hero  [Pre-Chorus: Trey Songz] Callin' all the girls , do you hear me? All around the world, city to city Cheers to the girls, throw a deuce to the guys Now I got a chicken and a goose in the ride Gettin' loose in the ride Hatin' ass nigga you can move to the move to the move to the side  [Chorus: Trey Songz & Nicki Minaj] Bottoms up, bottoms up , ayy, what's in ya cup? Got a couple bottles, but a couple ain't enough Bottoms up, bottoms up, throw your hands up Tell security we 'bout to tear this club up Bottoms up, bottoms up, pocket full of green Girl, you know I love the way you shake it in them jeans Bottoms up, bottoms up (Uh-huh), throw ya hands up (Uh) Bottoms up, bottoms up (Uh), bottoms up, up, up (Yo) ",
